[2026-02-17 16:16:29] Admin ID: 1 | Ação: Acesso aos Logs | Detalhes:  | IP: ::1
[2026-02-17 16:16:29] Admin ID: 1 | Ação: Acesso aos Logs | Detalhes:  | IP: ::1
[2026-02-17 16:55:53] Admin ID: 1 | Ação: Test Debug | Detalhes: Testing admin index parts | IP: ::1
[2026-02-17 16:58:17] Admin ID: 1 | Ação: Acesso ao Dashboard | Detalhes: Visualização do painel administrativo | IP: ::1
[2026-02-17 16:58:17] Admin ID: 1 | Ação: Acesso ao Dashboard | Detalhes: Visualização do painel administrativo | IP: ::1
[2026-02-17 16:58:29] Admin ID: 1 | Ação: Acesso ao Dashboard | Detalhes: Visualização do painel administrativo | IP: ::1
[2026-02-17 16:59:27] Admin ID: 1 | Ação: Acesso ao Dashboard | Detalhes: Visualização do painel administrativo | IP: ::1
[2026-02-17 16:59:27] Admin ID: 1 | Ação: Acesso ao Dashboard | Detalhes: Visualização do painel administrativo | IP: ::1
[2026-02-17 16:59:37] Admin ID: 1 | Ação: Acesso às Configurações | Detalhes:  | IP: ::1
[2026-02-17 16:59:37] Admin ID: 1 | Ação: Acesso às Configurações | Detalhes:  | IP: ::1
[2026-02-17 16:59:41] Admin ID: 1 | Ação: Acesso às Configurações | Detalhes:  | IP: ::1
[2026-02-17 16:59:41] Admin ID: 1 | Ação: Acesso às Configurações | Detalhes:  | IP: ::1
[2026-02-17 17:00:05] Admin ID: 1 | Ação: Acesso aos Logs | Detalhes:  | IP: ::1
[2026-02-17 17:00:05] Admin ID: 1 | Ação: Acesso aos Logs | Detalhes:  | IP: ::1
[2026-02-17 17:00:13] Admin ID: 1 | Ação: Limpar Logs | Detalhes: Logs anteriores a 30 dias removidos | IP: ::1
[2026-02-17 17:00:13] Admin ID: 1 | Ação: Acesso aos Logs | Detalhes:  | IP: ::1
[2026-02-17 17:02:24] Admin ID: 1 | Ação: Acesso às Configurações | Detalhes:  | IP: ::1
[2026-02-17 17:02:24] Admin ID: 1 | Ação: Acesso às Configurações | Detalhes:  | IP: ::1
[2026-02-17 17:12:51] Admin ID: 1 | Ação: Acesso ao Dashboard | Detalhes: Visualização do painel administrativo | IP: ::1
[2026-02-17 17:12:51] Admin ID: 1 | Ação: Acesso ao Dashboard | Detalhes: Visualização do painel administrativo | IP: ::1
[2026-02-17 17:13:14] Admin ID: 1 | Ação: Acesso à Gestão de Utilizadores | Detalhes:  | IP: ::1
[2026-02-17 17:13:14] Admin ID: 1 | Ação: Acesso à Gestão de Utilizadores | Detalhes:  | IP: ::1
[2026-02-17 17:13:29] Admin ID: 1 | Ação: Acesso à Gestão de Casas | Detalhes:  | IP: ::1
[2026-02-17 17:13:29] Admin ID: 1 | Ação: Acesso à Gestão de Casas | Detalhes:  | IP: ::1
[2026-02-17 17:14:07] Admin ID: 1 | Ação: Acesso às Verificações Pendentes | Detalhes:  | IP: ::1
[2026-02-17 17:14:07] Admin ID: 1 | Ação: Acesso às Verificações Pendentes | Detalhes:  | IP: ::1
[2026-02-17 17:14:16] Admin ID: 1 | Ação: Acesso às Estatísticas | Detalhes:  | IP: ::1
[2026-02-17 17:14:16] Admin ID: 1 | Ação: Acesso às Estatísticas | Detalhes:  | IP: ::1
[2026-02-17 17:14:28] Admin ID: 1 | Ação: Acesso às Configurações | Detalhes:  | IP: ::1
[2026-02-17 17:14:28] Admin ID: 1 | Ação: Acesso às Configurações | Detalhes:  | IP: ::1
[2026-02-17 17:15:40] Admin ID: 1 | Ação: Acesso ao Dashboard | Detalhes: Visualização do painel administrativo | IP: ::1
[2026-02-17 17:15:40] Admin ID: 1 | Ação: Acesso ao Dashboard | Detalhes: Visualização do painel administrativo | IP: ::1
[2026-02-17 17:15:53] Admin ID: 1 | Ação: Acesso à Gestão de Utilizadores | Detalhes:  | IP: ::1
[2026-02-17 17:15:53] Admin ID: 1 | Ação: Acesso à Gestão de Utilizadores | Detalhes:  | IP: ::1
[2026-02-17 17:16:41] Admin ID: 1 | Ação: Acesso às Configurações | Detalhes:  | IP: ::1
[2026-02-17 17:16:41] Admin ID: 1 | Ação: Acesso às Configurações | Detalhes:  | IP: ::1
[2026-02-17 17:16:56] Admin ID: 1 | Ação: Acesso ao Dashboard | Detalhes: Visualização do painel administrativo | IP: ::1
[2026-02-17 17:16:56] Admin ID: 1 | Ação: Acesso ao Dashboard | Detalhes: Visualização do painel administrativo | IP: ::1
[2026-02-17 17:19:11] Admin ID: 1 | Ação: Acesso ao Dashboard | Detalhes: Visualização do painel administrativo | IP: ::1
[2026-02-17 17:23:31] Admin ID: 1 | Ação: Acesso ao Dashboard | Detalhes: Visualização do painel administrativo | IP: ::1
[2026-02-17 17:23:32] Admin ID: 1 | Ação: Acesso ao Dashboard | Detalhes: Visualização do painel administrativo | IP: ::1
[2026-02-17 17:23:37] Admin ID: 1 | Ação: Acesso à Gestão de Utilizadores | Detalhes:  | IP: ::1
[2026-02-17 17:23:37] Admin ID: 1 | Ação: Acesso à Gestão de Utilizadores | Detalhes:  | IP: ::1
[2026-02-17 18:11:46] Admin ID: 1 | Ação: Acesso à Gestão de Utilizadores | Detalhes:  | IP: ::1
[2026-02-17 18:11:52] Admin ID: 1 | Ação: Acesso ao Dashboard | Detalhes: Visualização do painel administrativo | IP: ::1
[2026-02-17 18:11:52] Admin ID: 1 | Ação: Acesso ao Dashboard | Detalhes: Visualização do painel administrativo | IP: ::1
